Constituency_Name,Constituency_Number,Candidate_Id,Firstname,Surname,Outgoing_Member,Party_Id,Party_Name,Photo_URL,Directory,Gender
South Down,14,215,Sinead,BRADLEY,0,23,Social Democratic and Labour Party,,south-down,F
South Down,14,216,Patrick,BROWN,0,19,Alliance Party,,south-down,M
South Down,14,217,Michael,GRAY-SLOAN,0,24,Sinn Fein,,south-down,M
South Down,14,218,John,HARDY,0,111,Green Party,,south-down,M
South Down,14,219,Chris,HAZZARD,1,24,Sinn Fein,,south-down,M
South Down,14,220,John,MCCALLISTER,1,21,Independent,,south-down,M
South Down,14,221,Colin,MCGRATH,0,23,Social Democratic and Labour Party,,south-down,M
South Down,14,222,Harold,MCKEE,0,26,Ulster Unionist Party,,south-down,M
South Down,14,223,Henry,REILLY,0,141,Traditional Unionist Voice,,south-down,M
South Down,14,224,Sean,ROGERS,1,23,Social Democratic and Labour Party,,south-down,M
South Down,14,225,Caitriona,RUANE,1,24,Sinn Fein,,south-down,F
South Down,14,226,Jim,WELLS,1,20,Democratic Unionist Party,,south-down,M
Strangford,15,227,Kellie,ARMSTRONG,0,19,Alliance Party,,strangford,F
Strangford,15,228,Jonathan,BELL,1,20,Democratic Unionist Party,,strangford,M
Strangford,15,229,Joe,BOYLE,0,23,Social Democratic and Labour Party,,strangford,M
Strangford,15,230,Stephen,COOPER,0,141,Traditional Unionist Voice,,strangford,M
Strangford,15,231,Stephen,CROSBY,0,689,UK Independence Party,,strangford,M
Strangford,15,232,Georgia,GRAINGER,0,111,Green Party,,strangford,F
Strangford,15,233,Simon,HAMILTON,1,20,Democratic Unionist Party,,strangford,M
Strangford,15,234,Harry,HARVEY,0,20,Democratic Unionist Party,,strangford,M
Strangford,15,235,Dermot,KENNEDY,0,24,Sinn Fein,,strangford,M
Strangford,15,236,Rab,MCCARTNEY,0,21,Independent,,strangford,M
Strangford,15,237,Michelle,MCILVEEN,1,20,Democratic Unionist Party,,strangford,F
Strangford,15,238,Bill,MCKENDRY,0,991,NI Conservatives,,strangford,M
Strangford,15,239,Jimmy,MENAGH,0,21,Independent,,strangford,M
Strangford,15,240,Mike,NESBITT,1,26,Ulster Unionist Party,,strangford,M
Strangford,15,241,Philip,SMITH,0,26,Ulster Unionist Party,,strangford,M
Upper Bann,16,242,Sydney Alexander,ANDERSON,1,20,Democratic Unionist Party,,upper-bann,M
Upper Bann,16,243,Doug,BEATTIE,0,26,Ulster Unionist Party,,upper-bann,M
Upper Bann,16,244,Jo-Anne,DOBSON,1,26,Ulster Unionist Party,,upper-bann,F
Upper Bann,16,245,Roy,FERGUSON,0,141,Traditional Unionist Voice,,upper-bann,M
Upper Bann,16,246,Harry,HAMILTON,0,19,Alliance Party,,upper-bann,M
Upper Bann,16,247,Emma,HUTCHINSON,0,989,NI Labour Representation Committee,,upper-bann,F
Upper Bann,16,248,David,JONES,0,689,UK Independence Party,,upper-bann,M
Upper Bann,16,249,Dolores,KELLY,1,23,Social Democratic and Labour Party,,upper-bann,F
Upper Bann,16,250,Martin,KELLY,0,993,Cannabis Is Safer Than Alcohol,,upper-bann,M
Upper Bann,16,251,Simon,LEE,0,111,Green Party,,upper-bann,M
Upper Bann,16,252,Carla,LOCKHART,0,20,Democratic Unionist Party,,upper-bann,F
Upper Bann,16,253,Sophie,LONG,0,994,Progressive Unionist Party,,upper-bann,F
Upper Bann,16,254,Stephen,MCCARROLL,0,21,Independent,,upper-bann,M
Upper Bann,16,255,Ian Keith,NICKELS,0,991,NI Conservatives,,upper-bann,M
Upper Bann,16,256,John,ODOWD,1,24,Sinn Fein,,upper-bann,M
Upper Bann,16,257,Kyle,SAVAGE,0,26,Ulster Unionist Party,,upper-bann,M
Upper Bann,16,258,Catherine,SEELEY,0,24,Sinn Fein,,upper-bann,F
West Tyrone,18,259,Michaela,BOYLE,1,24,Sinn Fein,,west-tyrone,F
West Tyrone,18,260,Allan,BRESLAND,0,20,Democratic Unionist Party,,west-tyrone,M
West Tyrone,18,261,Barry,BROWN,0,993,Cannabis Is Safer Than Alcohol,,west-tyrone,M
West Tyrone,18,262,Thomas,BUCHANAN,1,20,Democratic Unionist Party,,west-tyrone,M
West Tyrone,18,263,Josephine Anne,DEENAN,0,21,Independent,,west-tyrone,F
West Tyrone,18,264,Stephen,DONNELLY,0,19,Alliance Party,,west-tyrone,M
West Tyrone,18,265,Corey,FRENCH,0,21,Independent,,west-tyrone,M
West Tyrone,18,266,Ross,HUSSEY,1,26,Ulster Unionist Party,,west-tyrone,M
West Tyrone,18,267,Patsy,KELLY,0,21,Independent,,west-tyrone,M
West Tyrone,18,268,Roger,LOMAS,0,991,NI Conservatives,,west-tyrone,M
West Tyrone,18,269,Declan,MCALEER,1,24,Sinn Fein,,west-tyrone,M
West Tyrone,18,270,Laura,MCANEA,0,985,Animal Welfare Party,,west-tyrone,F
West Tyrone,18,271,Sorcha,MCANESPY,0,21,Independent,,west-tyrone,F
West Tyrone,18,272,Ciaran,MCCLEAN,0,111,Green Party,,west-tyrone,M
West Tyrone,18,273,Daniel,MCCROSSAN,1,23,Social Democratic and Labour Party,,west-tyrone,M
West Tyrone,18,274,Grace,MCDERMOTT,0,24,Sinn Fein,,west-tyrone,F
West Tyrone,18,275,Barry,MCELDUFF,1,24,Sinn Fein,,west-tyrone,M
West Tyrone,18,276,Susan-Anne,WHITE,0,21,Independent,,west-tyrone,F
